[11.629s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1641M->548M(2048M) 72.431ms
[11.629s][info][gc,cpu      ] GC(17) User=0.38s Sys=0.00s Real=0.08s
[12.862s][info][gc,start    ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[12.862s][info][gc,task     ] GC(18) Using 6 workers of 6 for evacuation
[12.917s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.3ms
[12.917s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.3ms
[12.917s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 52.9ms
[12.917s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.6ms
[12.917s][info][gc,phases   ] GC(18)   Other: 0.3ms
[12.917s][info][gc,heap     ] GC(18) Eden regions: 1082->0(1075)
[12.917s][info][gc,heap     ] GC(18) Survivor regions: 130->33(152)
[12.917s][info][gc,heap     ] GC(18) Old regions: 406->520
[12.917s][info][gc,heap     ] GC(18) Archive regions: 0->0
[12.917s][info][gc,heap     ] GC(18) Humongous regions: 22->22
[12.917s][info][gc,metaspace] GC(18) Metaspace: 8798K(9024K)->8798K(9024K) NonClass: 7977K(8128K)->7977K(8128K) Class: 821K(896K)->821K(896K)
[12.917s][info][gc          ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1639M->574M(2048M) 54.541ms
[12.917s][info][gc,cpu      ] GC(18) User=0.36s Sys=0.02s Real=0.05s
[13.090s][info][gc,start    ] GC(19) Pause Full (System.gc())
[13.090s][info][gc,task     ] GC(19) Using 6 workers of 6 for full compaction
[13.090s][info][gc,phases,start] GC(19) Phase 1: Mark live objects
[13.196s][info][gc,phases      ] GC(19) Phase 1: Mark live objects 105.674ms
[13.196s][info][gc,phases,start] GC(19) Phase 2: Prepare for compaction
[13.219s][info][gc,phases      ] GC(19) Phase 2: Prepare for compaction 22.792ms
[13.219s][info][gc,phases,start] GC(19) Phase 3: Adjust pointers
[13.266s][info][gc,phases      ] GC(19) Phase 3: Adjust pointers 46.596ms
[13.266s][info][gc,phases,start] GC(19) Phase 4: Compact heap
[13.290s][info][gc,phases      ] GC(19) Phase 4: Compact heap 24.792ms
[13.296s][info][gc,heap        ] GC(19) Eden regions: 205->0(1185)
[13.296s][info][gc,heap        ] GC(19) Survivor regions: 33->0(152)
[13.296s][info][gc,heap        ] GC(19) Old regions: 520->441
[13.296s][info][gc,heap        ] GC(19) Archive regions: 0->0
[13.296s][info][gc,heap        ] GC(19) Humongous regions: 22->3
[13.296s][info][gc,metaspace   ] GC(19) Metaspace: 8850K(9024K)->8850K(9024K) NonClass: 8025K(8128K)->8025K(8128K) Class: 825K(896K)->825K(896K)
[13.296s][info][gc             ] GC(19) Pause Full (System.gc()) 779M->442M(2048M) 205.868ms
[13.296s][info][gc,cpu         ] GC(19) User=1.16s Sys=0.00s Real=0.21s
[14.888s][info][gc,start       ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[14.888s][info][gc,task        ] GC(20) Using 6 workers of 6 for evacuation
[14.901s][info][gc,phases      ] GC(20)   Pre Evacuate Collection Set: 0.2ms
[14.903s][info][gc,phases      ] GC(20)   Merge Heap Roots: 0.1ms
[14.903s][info][gc,phases      ] GC(20)   Evacuate Collection Set: 12.8ms
[14.903s][info][gc,phases      ] GC(20)   Post Evacuate Collection Set: 0.6ms
[14.903s][info][gc,phases      ] GC(20)   Other: 0.2ms
[14.903s][info][gc,heap        ] GC(20) Eden regions: 1185->0(1199)
[14.903s][info][gc,heap        ] GC(20) Survivor regions: 0->21(149)
[14.903s][info][gc,heap        ] GC(20) Old regions: 441->441
[14.903s][info][gc,heap        ] GC(20) Archive regions: 0->0
[14.903s][info][gc,heap        ] GC(20) Humongous regions: 3->3
[14.903s][info][gc,metaspace   ] GC(20) Metaspace: 9766K(9984K)->9766K(9984K) NonClass: 8906K(9024K)->8906K(9024K) Class: 859K(960K)->859K(960K)
