[0.012s][info][gc,heap] Heap region size: 4M
[16.411s][info][gc,heap        ] GC(16) Old regions: 114->114
[16.411s][info][gc,heap        ] GC(16) Humongous regions: 1->1
[16.411s][info][gc,metaspace   ] GC(16) Metaspace: 17649K(18176K)->17649K(18176K) NonClass: 16111K(16384K)->16111K(16384K) Class: 1538K(1792K)->1538K(1792K)
[16.411s][info][gc             ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 3169M->485M(8192M) 30.677ms
[16.411s][info][gc,cpu         ] GC(16) User=0.19s Sys=0.00s Real=0.03s
[18.115s][info][gc,start       ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[18.116s][info][gc,task        ] GC(17) Using 6 workers of 6 for evacuation
[18.150s][info][gc,phases      ] GC(17)   Pre Evacuate Collection Set: 0.1ms
[18.151s][info][gc,phases      ] GC(17)   Evacuate Collection Set: 33.7ms
[18.151s][info][gc,phases      ] GC(17)   Post Evacuate Collection Set: 1.0ms
[18.151s][info][gc,phases      ] GC(17)   Other: 0.3ms
[18.151s][info][gc,heap        ] GC(17) Eden regions: 745->0(809)
[18.151s][info][gc,heap        ] GC(17) Survivor regions: 10->16(95)
[18.151s][info][gc,heap        ] GC(17) Old regions: 114->114
[18.151s][info][gc,heap        ] GC(17) Humongous regions: 1->1
[18.151s][info][gc,metaspace   ] GC(17) Metaspace: 17654K(18176K)->17654K(18176K) NonClass: 16115K(16384K)->16115K(16384K) Class: 1539K(1792K)->1539K(1792K)
[18.151s][info][gc             ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 3465M->507M(8192M) 35.144ms
[18.151s][info][gc,cpu         ] GC(17) User=0.19s Sys=0.00s Real=0.04s
[19.409s][info][gc,start       ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[19.409s][info][gc,task        ] GC(18) Using 6 workers of 6 for evacuation
[19.456s][info][gc,phases      ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[19.456s][info][gc,phases      ] GC(18)   Evacuate Collection Set: 45.2ms
[19.456s][info][gc,phases      ] GC(18)   Post Evacuate Collection Set: 1.3ms
[19.456s][info][gc,phases      ] GC(18)   Other: 0.2ms
[19.456s][info][gc,heap        ] GC(18) Eden regions: 809->0(1206)
[19.456s][info][gc,heap        ] GC(18) Survivor regions: 16->22(104)
[19.456s][info][gc,heap        ] GC(18) Old regions: 114->114
[19.456s][info][gc,heap        ] GC(18) Humongous regions: 1->1
[19.456s][info][gc,metaspace   ] GC(18) Metaspace: 17654K(18176K)->17654K(18176K) NonClass: 16115K(16384K)->16115K(16384K) Class: 1539K(1792K)->1539K(1792K)
[19.456s][info][gc             ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 3743M->531M(8192M) 46.925ms
[19.456s][info][gc,cpu         ] GC(18) User=0.28s Sys=0.00s Real=0.05s
[21.445s][info][gc,start       ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[21.445s][info][gc,task        ] GC(19) Using 6 workers of 6 for evacuation
[21.512s][info][gc,phases      ] GC(19)   Pre Evacuate Collection Set: 0.1ms
[21.512s][info][gc,phases      ] GC(19)   Evacuate Collection Set: 65.1ms
[21.512s][info][gc,phases      ] GC(19)   Post Evacuate Collection Set: 1.9ms
[21.512s][info][gc,phases      ] GC(19)   Other: 0.4ms
[21.512s][info][gc,heap        ] GC(19) Eden regions: 1206->0(1199)
[21.512s][info][gc,heap        ] GC(19) Survivor regions: 22->29(154)
[21.512s][info][gc,heap        ] GC(19) Old regions: 114->114
[21.512s][info][gc,heap        ] GC(19) Humongous regions: 1->1
[21.512s][info][gc,metaspace   ] GC(19) Metaspace: 17655K(18176K)->17655K(18176K) NonClass: 16116K(16384K)->16116K(16384K) Class: 1539K(1792K)->1539K(1792K)
[21.512s][info][gc             ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 5355M->561M(8192M) 67.673ms
[21.512s][info][gc,cpu         ] GC(19) User=0.42s Sys=0.02s Real=0.07s
[24.827s][info][gc,start       ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[24.827s][info][gc,task        ] GC(20) Using 6 workers of 6 for evacuation
[25.001s][info][gc,phases      ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[25.001s][info][gc,phases      ] GC(20)   Evacuate Collection Set: 172.1ms
[25.001s][info][gc,phases      ] GC(20)   Post Evacuate Collection Set: 1.9ms
[25.001s][info][gc,phases      ] GC(20)   Other: 0.3ms
[25.001s][info][gc,heap        ] GC(20) Eden regions: 1199->0(1167)
[25.001s][info][gc,heap        ] GC(20) Survivor regions: 29->61(154)
[25.001s][info][gc,heap        ] GC(20) Old regions: 114->114
[25.001s][info][gc,heap        ] GC(20) Humongous regions: 1->1
[25.001s][info][gc,metaspace   ] GC(20) Metaspace: 18172K(18688K)->18172K(18688K) NonClass: 16585K(16896K)->16585K(16896K) Class: 1586K(1792K)->1586K(1792K)
[25.001s][info][gc             ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 5357M->687M(8192M) 174.459ms
[25.001s][info][gc,cpu         ] GC(20) User=1.03s Sys=0.00s Real=0.17s
[30.056s][info][gc,task        ] GC(21) Using 6 workers of 6 for full compaction
[30.056s][info][gc,start       ] GC(21) Pause Full (System.gc())
[30.056s][info][gc,phases,start] GC(21) Phase 1: Mark live objects
